=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH
NIFTY    8300  CE   2014-10-30    2014-10-29      1d   13540  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8300_CE_30_OCT_14.csv
NIFTY    8300  PE   2014-10-30    2014-10-29      1d    6397  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8300_PE_30_OCT_14.csv
NIFTY    8400  PE   2014-10-30    2014-10-29      1d    2566  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8400_PE_30_OCT_14.csv
NIFTY    8400  CE   2014-10-30    2014-10-29      1d   12398  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8400_CE_30_OCT_14.csv
NIFTY    8500  CE   2014-10-30    2014-10-29      1d   11962  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8500_CE_30_OCT_14.csv
NIFTY    8500  PE   2014-10-30    2014-10-29      1d    4293  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8500_PE_30_OCT_14.csv
NIFTY    8350  PE   2016-12-29    2016-11-24     35d    4182  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8350_PE_29_DEC_16.csv
NIFTY    8450  PE   2016-12-29    2016-11-24     35d    4318  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8450_PE_29_DEC_16.csv
NIFTY    8550  CE   2016-12-29    2016-11-24     35d    5217  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8550_CE_29_DEC_16.csv
NIFTY    8550  PE   2016-12-29    2016-11-24     35d    4557  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8550_PE_29_DEC_16.csv
NIFTY    8600  CE   2016-12-29    2016-11-24     35d   10314  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8600_CE_29_DEC_16.csv
NIFTY    8600  PE   2016-12-29    2016-11-24     35d   10786  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8600_PE_29_DEC_16.csv
NIFTY    8650  CE   2016-12-29    2016-11-24     35d    5840  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8650_CE_29_DEC_16.csv
NIFTY    8700  PE   2016-12-29    2016-11-24     35d    9692  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8700_PE_29_DEC_16.csv
NIFTY    8700  CE   2016-12-29    2016-11-24     35d   10637  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8700_CE_29_DEC_16.csv
NIFTY    8750  CE   2016-12-29    2016-11-24     35d    5493  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8750_CE_29_DEC_16.csv
