timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,pe_strike,ce_strike,pe_cost,ce_cost,total_cost,cost_pct
2026-01-28 12:26:00+05:30,2026-02-03,Tuesday,Wednesday,25277.6,25290.2,25277.6,25285.95,0,25282.837499999998,25150,25400,145.75,175.85,321.6,1.2720091247669494
2026-01-28 12:27:00+05:30,2026-02-03,Tuesday,Wednesday,25286.1,25287.75,25284.0,25286.15,0,25286.0,25150,25400,147.7,174.75,322.45,1.2752115795301748
2026-01-28 12:28:00+05:30,2026-02-03,Tuesday,Wednesday,25285.95,25286.9,25274.05,25274.25,0,25280.287500000002,25150,25400,152.7,170.35,323.04999999999995,1.2778731254539724
2026-01-28 12:29:00+05:30,2026-02-03,Tuesday,Wednesday,25274.5,25275.75,25269.0,25271.8,0,25272.7625,25150,25400,153.0,169.5,322.5,1.276077357985697
2026-01-28 12:30:00+05:30,2026-02-03,Tuesday,Wednesday,25272.0,25280.2,25270.45,25271.0,0,25273.4125,25150,25400,153.3,169.0,322.3,1.275253193449836
2026-01-28 12:31:00+05:30,2026-02-03,Tuesday,Wednesday,25270.55,25277.9,25269.05,25274.65,0,25273.0375,25150,25400,151.3,170.1,321.4,1.2717110082236849
2026-01-28 12:32:00+05:30,2026-02-03,Tuesday,Wednesday,25275.1,25276.3,25274.2,25275.6,0,25275.299999999996,25150,25400,150.05,171.2,321.25,1.2710037071765719
2026-01-28 12:33:00+05:30,2026-02-03,Tuesday,Wednesday,25275.3,25277.8,25269.6,25277.4,0,25275.025,25150,25400,149.3,171.1,320.4,1.2676545324880983
2026-01-28 12:34:00+05:30,2026-02-03,Tuesday,Wednesday,25278.15,25286.2,25277.65,25279.5,0,25280.375,25150,25400,148.5,172.0,320.5,1.2677818268123
2026-01-28 12:35:00+05:30,2026-02-03,Tuesday,Wednesday,25280.25,25285.8,25271.1,25285.0,0,25280.5375,25150,25400,146.75,173.15,319.9,1.2654003104166593
2026-01-28 12:36:00+05:30,2026-02-03,Tuesday,Wednesday,25285.35,25285.45,25274.8,25279.65,0,25281.3125,25150,25400,149.3,169.9,319.20000000000005,1.2625926759142747
2026-01-28 12:37:00+05:30,2026-02-03,Tuesday,Wednesday,25280.25,25285.95,25276.55,25277.8,0,25280.1375,25150,25400,150.0,169.55,319.55,1.2640358463240162
2026-01-28 12:38:00+05:30,2026-02-03,Tuesday,Wednesday,25278.0,25282.2,25277.2,25277.5,0,25278.725,25150,25400,150.05,168.35,318.4,1.2595571968127348
2026-01-28 12:39:00+05:30,2026-02-03,Tuesday,Wednesday,25277.45,25278.5,25274.1,25274.9,0,25276.237499999996,25150,25400,150.45,167.1,317.54999999999995,1.2563183108245441
2026-01-28 12:40:00+05:30,2026-02-03,Tuesday,Wednesday,25274.65,25275.35,25267.05,25269.6,0,25271.6625,25150,25400,152.65,165.65,318.3,1.2595134965893124
2026-01-28 12:41:00+05:30,2026-02-03,Tuesday,Wednesday,25269.65,25270.75,25265.9,25267.8,0,25268.525,25150,25400,153.15,165.0,318.15,1.2590762618712408
2026-01-28 12:42:00+05:30,2026-02-03,Tuesday,Wednesday,25267.8,25269.05,25258.95,25261.9,0,25264.425000000003,25150,25400,154.9,162.85,317.75,1.2576973352846936
2026-01-28 12:43:00+05:30,2026-02-03,Tuesday,Wednesday,25262.05,25276.7,25261.7,25272.0,0,25268.1125,25150,25400,149.2,168.35,317.54999999999995,1.2567222818878931
2026-01-28 12:44:00+05:30,2026-02-03,Tuesday,Wednesday,25272.1,25277.85,25271.55,25275.35,0,25274.2125,25150,25400,146.2,169.75,315.95,1.2500884053261796
2026-01-28 12:45:00+05:30,2026-02-03,Tuesday,Wednesday,25275.6,25281.05,25275.1,25275.8,0,25276.8875,25150,25400,147.25,168.45,315.7,1.2489670652686173
2026-01-28 12:46:00+05:30,2026-02-03,Tuesday,Wednesday,25275.65,25276.3,25273.45,25274.9,0,25275.074999999997,25150,25400,147.2,168.25,315.45,1.24806751315278
2026-01-28 12:47:00+05:30,2026-02-03,Tuesday,Wednesday,25274.65,25275.2,25265.2,25270.85,0,25271.475,25150,25400,148.85,166.8,315.65,1.2490367103621771
2026-01-28 12:48:00+05:30,2026-02-03,Tuesday,Wednesday,25271.25,25273.05,25270.15,25270.85,0,25271.325000000004,25150,25400,149.0,166.15,315.15,1.2470655970749454
2026-01-28 12:49:00+05:30,2026-02-03,Tuesday,Wednesday,25271.6,25272.4,25263.05,25265.1,0,25268.0375,25150,25400,153.95,162.4,316.35,1.2519769293519531
2026-01-28 12:50:00+05:30,2026-02-03,Tuesday,Wednesday,25264.4,25265.5,25261.4,25264.8,0,25264.025,25150,25400,152.4,164.1,316.5,1.2527695012968043
2026-01-28 12:51:00+05:30,2026-02-03,Tuesday,Wednesday,25264.85,25275.6,25264.6,25269.7,0,25268.687499999996,25150,25400,150.25,165.15,315.4,1.2481851303119722
2026-01-28 12:52:00+05:30,2026-02-03,Tuesday,Wednesday,25269.55,25279.45,25266.4,25269.7,0,25271.274999999998,25150,25400,150.35,163.7,314.04999999999995,1.2427152963196357
2026-01-28 12:53:00+05:30,2026-02-03,Tuesday,Wednesday,25269.8,25273.7,25263.45,25272.3,0,25269.8125,25150,25400,147.95,165.3,313.25,1.2396213861895493
2026-01-28 12:54:00+05:30,2026-02-03,Tuesday,Wednesday,25272.45,25272.95,25261.0,25265.4,0,25267.949999999997,25150,25400,150.45,163.7,314.15,1.2432745830192002
2026-01-28 12:55:00+05:30,2026-02-03,Tuesday,Wednesday,25265.15,25268.35,25265.0,25267.6,0,25266.525,25150,25400,150.1,164.0,314.1,1.2431468118389846
2026-01-28 12:56:00+05:30,2026-02-03,Tuesday,Wednesday,25267.9,25268.05,25263.7,25264.75,0,25266.1,25150,25400,151.85,163.7,315.54999999999995,1.2489066377478122
2026-01-28 12:57:00+05:30,2026-02-03,Tuesday,Wednesday,25264.65,25266.7,25261.95,25262.05,0,25263.8375,25150,25400,152.95,162.3,315.25,1.2478310153791956
