segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,Nifty Chemicals,NSE,INDEX,NSE_INDEX|Nifty Chemicals,26142.0,NIFTY CHEMICALS
NSE_INDEX,Nifty Multi Infra,NSE,INDEX,NSE_INDEX|Nifty Multi Infra,26086.0,NIFTY MULTI INFRA
NSE_INDEX,Nifty GS 15YrPlus,NSE,INDEX,NSE_INDEX|Nifty GS 15YrPlus,26054.0,NIFTY GS 15YRPLUS
NSE_INDEX,Nifty FinSerExBnk,NSE,INDEX,NSE_INDEX|Nifty FinSerExBnk,26118.0,NIFTY FINSEREXBNK
BSE_INDEX,BSE METAL,BSE,INDEX,BSE_INDEX|METAL,14.0,METAL
BSE_INDEX,BSE TECK,BSE,INDEX,BSE_INDEX|TECK,11.0,TECK
BSE_INDEX,BSE PREMIUM CONSUMPT,BSE,INDEX,BSE_INDEX|PRECON,76.0,PRECON
BSE_INDEX,BSE CPSE,BSE,INDEX,BSE_INDEX|CPSE,29.0,CPSE
NSE_INDEX,Nifty Serv Sector,NSE,INDEX,NSE_INDEX|Nifty Serv Sector,26026.0,NIFTY SERV SECTOR
NSE_INDEX,Nifty100 Alpha 30,NSE,INDEX,NSE_INDEX|Nifty100 Alpha 30,26110.0,NIFTY100 ALPHA 30
NSE_INDEX,Nifty Top 20 EW,NSE,INDEX,NSE_INDEX|Nifty Top 20 EW,26116.0,NIFTY TOP 20 EW
NSE_INDEX,Nifty500 Value 50,NSE,INDEX,NSE_INDEX|Nifty500 Value 50,26115.0,NIFTY500 VALUE 50
NSE_INDEX,Nifty GS 10Yr,NSE,INDEX,NSE_INDEX|Nifty GS 10Yr,26050.0,NIFTY GS 10YR
BSE_INDEX,BSE Hospitals,BSE,INDEX,BSE_INDEX|BSHOSP,99.0,BSHOSP
NSE_INDEX,Nifty50 USD,NSE,INDEX,NSE_INDEX|Nifty50 USD,26134.0,NIFTY50 USD
NSE_INDEX,Nifty Tata 25 Cap,NSE,INDEX,NSE_INDEX|Nifty Tata 25 Cap,26083.0,NIFTY TATA 25 CAP
NSE_INDEX,NIFTY SMLCAP 100,NSE,INDEX,NSE_INDEX|NIFTY SMLCAP 100,26032.0,NIFTY SMLCAP 100
BSE_INDEX,BSE 250 LARGEMIDCAP,BSE,INDEX,BSE_INDEX|LMI250,57.0,LMI250
BSE_INDEX,BSE SEL BUSINESS GRP,BSE,INDEX,BSE_INDEX|BBGEFS,78.0,BBGEFS
NSE_INDEX,NIFTY SMLCAP 250,NSE,INDEX,NSE_INDEX|NIFTY SMLCAP 250,26062.0,NIFTY SMLCAP 250
NSE_INDEX,Nifty TMMQ 50,NSE,INDEX,NSE_INDEX|Nifty TMMQ 50,26136.0,NIFTY TMMQ 50
NSE_INDEX,Nifty FMCG,NSE,INDEX,NSE_INDEX|Nifty FMCG,26021.0,NIFTY FMCG
BSE_INDEX,BSE SENSEX,BSE,INDEX,BSE_INDEX|SENSEX,1.0,SENSEX
BSE_INDEX,BSE UTILITIES,BSE,INDEX,BSE_INDEX|UTILS,46.0,UTILS
NSE_INDEX,Nifty MS Fin Serv,NSE,INDEX,NSE_INDEX|Nifty MS Fin Serv,26121.0,NIFTY MS FIN SERV
NSE_INDEX,Nifty Top 15 EW,NSE,INDEX,NSE_INDEX|Nifty Top 15 EW,26109.0,NIFTY TOP 15 EW
NSE_INDEX,NIFTY500 MULTICAP,NSE,INDEX,NSE_INDEX|NIFTY500 MULTICAP,26072.0,NIFTY500 MULTICAP
NSE_INDEX,NIFTY HEALTHCARE,NSE,INDEX,NSE_INDEX|NIFTY HEALTHCARE,26069.0,NIFTY HEALTHCARE
NSE_INDEX,Nifty GS 4 8Yr,NSE,INDEX,NSE_INDEX|Nifty GS 4 8Yr,26052.0,NIFTY GS 4 8YR
NSE_INDEX,NIFTY M150 QLTY50,NSE,INDEX,NSE_INDEX|NIFTY M150 QLTY50,26079.0,NIFTY M150 QLTY50
BSE_INDEX,BSE INDIA INFRA INDEX,BSE,INDEX,BSE_INDEX|INFRA,28.0,INFRA
NSE_INDEX,NIFTY100 EQL Wgt,NSE,INDEX,NSE_INDEX|NIFTY100 EQL Wgt,26057.0,NIFTY100 EQL WGT
BSE_INDEX,BSE OIL&GAS,BSE,INDEX,BSE_INDEX|OILGAS,15.0,OILGAS
BSE_INDEX,BSE SMALLCAP SELECT,BSE,INDEX,BSE_INDEX|SMLSEL,44.0,SMLSEL
NSE_INDEX,Nifty MS IT Telcm,NSE,INDEX,NSE_INDEX|Nifty MS IT Telcm,26123.0,NIFTY MS IT TELCM
BSE_INDEX,BSE SENSEX EQUAL WGT,BSE,INDEX,BSE_INDEX|SENEQW,79.0,SENEQW
NSE_INDEX,Nifty GS 11 15Yr,NSE,INDEX,NSE_INDEX|Nifty GS 11 15Yr,26053.0,NIFTY GS 11 15YR
BSE_INDEX,BSE Healthcare,BSE,INDEX,BSE_INDEX|BSEHC,33.0,BSEHC
BSE_INDEX,BSE IT,BSE,INDEX,BSE_INDEX|BSEIT,34.0,BSEIT
BSE_INDEX,BSE CAPITAL GOODS,BSE,INDEX,BSE_INDEX|BSECG,7.0,BSECG
BSE_INDEX,BSE CONSUMER DURABLES,BSE,INDEX,BSE_INDEX|BSECD,8.0,BSECD
NSE_INDEX,Nifty50 TR 1x Inv,NSE,INDEX,NSE_INDEX|Nifty50 TR 1x Inv,26044.0,NIFTY50 TR 1X INV
BSE_INDEX,BSE TELECOMMUNICATION,BSE,INDEX,BSE_INDEX|TELCOM,45.0,TELCOM
NSE_INDEX,NIFTY Alpha 50,NSE,INDEX,NSE_INDEX|NIFTY Alpha 50,26059.0,NIFTY ALPHA 50
BSE_INDEX,BSE SENSEX 50,BSE,INDEX,BSE_INDEX|SENSEX50,47.0,SENSEX50
